rssd9001,quarter_end,n_loans,total_amount,mean_spread
342634,2023-09-30,0,0.0000,224.1667
342634,2023-12-31,0,0.0000,250.5769
342634,2024-03-31,0,0.0000,286.0714
342634,2024-06-30,0,0.0000,244.1667
342634,2024-09-30,0,0.0000,271.8750
342634,2024-12-31,11,126.9353,294.6875
342634,2025-03-31,0,0.0000,225.0000
342634,2025-06-30,3,74.9435,217.3684
342634,2025-09-30,2,70.0487,272.1429
342634,2025-12-31,6,110.3887,229.5833
395238,2010-12-31,0,0.0000,250.0000
395238,2011-03-31,0,0.0000,250.0000
395238,2011-12-31,0,0.0000,
395238,2015-06-30,1,29.9750,
395238,2015-09-30,0,0.0000,138.0000
395238,2016-03-31,0,0.0000,225.0000
395238,2016-06-30,0,0.0000,225.0000
395238,2016-09-30,0,0.0000,225.0000
463735,2010-03-31,0,0.0000,
463735,2010-06-30,2,54.9998,269.4444
463735,2010-12-31,2,25.0125,234.3750
463735,2011-03-31,0,0.0000,150.0000
463735,2011-06-30,1,49.9500,233.3333
463735,2011-09-30,0,0.0000,150.0000
463735,2011-12-31,2,35.0175,275.0000
463735,2012-03-31,3,28.9950,240.0000
463735,2012-06-30,1,24.9900,150.0000
463735,2012-09-30,3,40.0025,240.0000
463735,2012-12-31,3,68.9510,260.8333
463735,2013-03-31,2,59.9760,225.0000
463735,2013-06-30,2,39.9600,247.7273
463735,2013-09-30,1,38.5500,365.0000
463735,2013-12-31,5,114.6700,258.3333
463735,2014-03-31,0,0.0000,280.6818
463735,2014-06-30,3,94.9800,235.9375
463735,2014-09-30,4,91.0200,261.1111
463735,2014-12-31,0,0.0000,286.6667
463735,2015-03-31,3,74.9500,225.0000
463735,2015-06-30,2,58.8000,220.8333
463735,2015-09-30,2,39.7700,267.0455
463735,2015-12-31,3,54.9980,233.7500
463735,2016-03-31,7,151.0141,256.9355
463735,2016-06-30,1,13.6125,388.3824
463735,2016-09-30,2,84.3600,316.9231
463735,2016-12-31,1,15.0080,287.8846
463735,2017-03-31,2,23.7400,265.3571
463735,2017-06-30,0,0.0000,279.7826
463735,2017-09-30,0,0.0000,192.8571
463735,2017-12-31,0,0.0000,258.5000
463735,2018-03-31,0,0.0000,265.2174
463735,2018-06-30,0,0.0000,268.7500
463735,2018-09-30,0,0.0000,234.3750
